
time,ax,ay,az,Gain,
0.0030,0.1658,-0.0191,-0.1016,78.4934,
0.0030,0.1658,-0.0191,-0.1016,78.4934,
0.0030,0.1658,-0.0191,-0.1016,78.4934,
0.0030,-0.0548,0.1222,-0.3112,78.4934,
0.0240,-0.0548,0.1222,-0.3112,78.4934,
0.0340,0.0473,-0.1826,0.1050,78.4934,
0.0340,0.0473,-0.1826,0.1050,78.4934,
0.0340,0.0473,-0.1826,0.1050,78.4934,
0.0690,0.0473,-0.1826,0.1050,78.4934,
0.0690,0.0473,-0.1826,0.1050,78.4934,
0.0710,0.0473,-0.1826,0.1050,78.4934,
0.0710,0.0473,-0.1826,0.1050,78.4934,
0.0720,0.0473,-0.1826,0.1050,78.4934,
0.0720,0.0153,-0.0135,0.1365,78.4934,
0.1100,0.0153,-0.0135,0.1365,78.5589,
0.1110,0.0153,-0.0135,0.1365,78.5589,
0.1110,0.0153,-0.0135,0.1365,78.5589,
0.1110,0.2765,-0.0180,0.1670,78.5589,
0.1500,0.2765,-0.0180,0.1670,78.5589,
0.1500,0.2765,-0.0180,0.1670,78.5589,
0.1510,0.2765,-0.0180,0.1670,78.5589,
0.1510,0.2101,-0.3032,0.3736,78.5589,
0.1690,0.2101,-0.3032,0.3736,78.5589,
0.1880,0.2101,-0.3032,0.3736,78.5589,
0.1880,0.2101,-0.3032,0.3736,78.5589,
0.1890,-0.0040,0.1100,-0.1413,78.5589,
0.1910,-0.0040,0.1100,-0.1413,78.5589,
0.2190,-0.0040,0.1100,-0.1413,78.5589,
0.2190,-0.0040,0.1100,-0.1413,78.5589,
0.2270,-0.0040,0.1100,-0.1413,78.5589,
0.2270,-0.0040,0.1100,-0.1413,78.5589,
0.2270,-0.0641,0.1738,-0.2383,78.5589,
0.2670,-0.0624,0.0671,-0.0716,78.5589,
0.2670,-0.0624,0.0671,-0.0716,78.5589,
0.2670,-0.0624,0.0671,-0.0716,78.5589,
0.2690,-0.0624,0.0671,-0.0716,78.5589,
0.2710,-0.0624,0.0671,-0.0716,78.5589,
0.3050,-0.0624,0.0671,-0.0716,78.5589,
0.3050,-0.0624,0.0671,-0.0716,78.5589,
0.3050,-0.2928,0.0354,0.3885,78.5589,
0.3050,-0.2928,0.0354,0.3885,78.5589,
0.3110,-0.2928,0.0354,0.3885,78.5589,
0.3440,-0.2928,0.0354,0.3885,78.5589,
0.3440,-0.2928,0.0354,0.3885,78.5589,
0.3440,-0.0071,-0.0618,0.0322,78.5589,
0.3680,-0.0071,-0.0618,0.0322,78.5589,
0.3840,0.6531,-0.2024,0.0962,78.5589,
0.3840,0.6531,-0.2024,0.0962,78.5589,
0.3840,0.6531,-0.2024,0.0962,78.5589,
0.3840,0.6531,-0.2024,0.0962,78.5589,
0.3910,0.6531,-0.2024,0.0962,78.5589,
0.4190,0.6531,-0.2024,0.0962,77.4432,
0.4210,0.6531,-0.2024,0.0962,77.4432,
0.4220,0.6531,-0.2024,0.0962,77.4432,
0.4220,-0.2192,0.3123,-1.1607,77.4432,
0.4610,-0.2192,0.3123,-1.1607,77.4432,
0.4610,-0.2192,0.3123,-1.1607,77.4432,
0.4610,-0.3914,0.3255,-1.1694,77.4432,
0.4610,-0.3914,0.3255,-1.1694,77.4432,
0.4690,-0.3914,0.3255,-1.1694,77.4432,
0.4710,-0.3914,0.3255,-1.1694,77.4432,
0.5010,-0.3914,0.3255,-1.1694,77.4432,
0.5010,-0.3914,0.3255,-1.1694,77.4432,
0.5010,0.2632,-0.0139,0.0478,77.4432,
0.5120,0.2632,-0.0139,0.0478,77.4432,
0.5380,0.2632,-0.0139,0.0478,77.4432,
0.5390,-0.2069,-0.1245,1.3770,77.4432,
0.5390,-0.2069,-0.1245,1.3770,77.4432,
0.5390,-0.2069,-0.1245,1.3770,77.4432,
0.5700,-0.2069,-0.1245,1.3770,77.4432,
0.5770,-0.2069,-0.1245,1.3770,77.4432,
0.5780,-0.2069,-0.1245,1.3770,77.4432,
0.5780,-0.0006,-0.2043,1.0737,77.4432,
0.5920,-0.0006,-0.2043,1.0737,77.4432,
0.6190,-0.0006,-0.2043,1.0737,77.4432,
0.6190,-0.0006,-0.2043,1.0737,77.4432,
0.6190,-0.0006,-0.2043,1.0737,77.4432,
0.6190,0.0457,-0.4159,0.5160,77.4432,
0.6190,0.0457,-0.4159,0.5160,77.4432,
0.6550,0.0457,-0.4159,0.5160,77.4432,
0.6550,0.0457,-0.4159,0.5160,77.4432,
0.6550,-0.0722,-0.3473,0.3043,77.4432,
0.6740,-0.0722,-0.3473,0.3043,77.4432,
0.6750,-0.0722,-0.3473,0.3043,77.4432,
0.6880,-0.0722,-0.3473,0.3043,77.4432,
0.6940,-0.0722,-0.3473,0.3043,77.4432,
0.6940,-0.0722,-0.3473,0.3043,77.4432,
0.6940,-0.1813,0.3007,0.0072,77.4432,
0.7120,-0.1813,0.3007,0.0072,77.1764,
0.7330,-0.1813,0.3007,0.0072,77.1764,
0.7330,-0.1813,0.3007,0.0072,77.1764,
0.7340,0.2232,0.3161,-0.2945,77.1764,
0.7720,0.2232,0.3161,-0.2945,77.1764,
0.7720,0.2232,0.3161,-0.2945,77.1764,
0.7760,0.2232,0.3161,-0.2945,77.1764,
0.7760,0.2232,0.3161,-0.2945,77.1764,
0.7780,-0.3864,0.4168,-0.5453,77.1764,
0.7920,-0.3864,0.4168,-0.5453,77.1764,
0.8110,-0.3864,0.4168,-0.5453,77.1764,
0.8110,-0.3864,0.4168,-0.5453,77.1764,
0.8120,0.0012,0.1035,-0.5047,77.1764,
0.8210,0.0012,0.1035,-0.5047,77.1764,
0.8400,0.0012,0.1035,-0.5047,77.1764,
0.8490,0.0012,0.1035,-0.5047,77.1764,
0.8500,0.0012,0.1035,-0.5047,77.1764,
0.8500,-0.0562,0.0513,-0.3518,77.1764,
0.8690,-0.0562,0.0513,-0.3518,77.1764,
0.8720,-0.0562,0.0513,-0.3518,77.1764,
0.8900,-0.0562,0.0513,-0.3518,77.1764,
0.8900,-0.0562,0.0513,-0.3518,77.1764,
0.8900,-0.2170,0.0285,0.0645,77.1764,
0.9120,-0.2170,0.0285,0.0645,77.1764,
0.9120,-0.2170,0.0285,0.0645,77.1764,
0.9280,-0.2170,0.0285,0.0645,77.1764,
0.9280,-0.2170,0.0285,0.0645,77.1764,
0.9280,0.0235,0.0272,-0.0673,77.1764,
0.9670,0.0235,0.0272,-0.0673,77.1764,
0.9680,0.0235,0.0272,-0.0673,77.1764,
0.9720,0.0235,0.0272,-0.0673,77.1764,
0.9720,0.0107,-0.0328,0.0550,77.1764,
0.9930,0.0107,-0.0328,0.0550,77.1764,
0.9930,0.0107,-0.0328,0.0550,77.1764,
1.0080,0.0107,-0.0328,0.0550,77.1764,
1.0090,-0.1490,0.1383,-0.4501,77.1764,
1.0110,-0.1490,0.1383,-0.4501,77.5333,
1.0230,-0.1490,0.1383,-0.4501,77.5333,
1.0440,-0.1490,0.1383,-0.4501,77.5333,
1.0450,-0.1490,0.1383,-0.4501,77.5333,
1.0450,0.0682,-0.0234,-0.1337,77.5333,
1.0730,0.0682,-0.0234,-0.1337,77.5333,
1.0740,0.0682,-0.0234,-0.1337,77.5333,
1.0740,0.0682,-0.0234,-0.1337,77.5333,
1.0830,0.0682,-0.0234,-0.1337,77.5333,
1.0840,0.0682,-0.0234,-0.1337,77.5333,
1.0840,0.1018,-0.0311,0.1357,77.5333,
1.1120,0.1018,-0.0311,0.1357,77.5333,
1.1230,0.1018,-0.0311,0.1357,77.5333,
1.1230,0.1018,-0.0311,0.1357,77.5333,
1.1230,-0.2207,0.1782,0.3117,77.5333,
1.1430,-0.2207,0.1782,0.3117,77.5333,
1.1610,-0.2207,0.1782,0.3117,77.5333,
1.1610,-0.2207,0.1782,0.3117,77.5333,
1.1620,0.0752,-0.0538,0.3298,77.5333,
1.1710,0.0752,-0.0538,0.3298,77.5333,
1.1910,0.0752,-0.0538,0.3298,77.5333,
1.2000,0.0752,-0.0538,0.3298,77.5333,
1.2000,0.0752,-0.0538,0.3298,77.5333,
1.2040,-0.0133,0.1188,-0.2790,77.5333,
1.2190,-0.0133,0.1188,-0.2790,77.5333,
1.2210,-0.0133,0.1188,-0.2790,77.5333,
1.2390,-0.0133,0.1188,-0.2790,77.5333,
1.2390,-0.0133,0.1188,-0.2790,77.5333,
1.2400,0.1789,-0.2308,-0.0042,77.5333,
1.2710,0.1789,-0.2308,-0.0042,77.5333,
1.2750,0.1789,-0.2308,-0.0042,77.5333,
1.2810,0.1789,-0.2308,-0.0042,77.5333,
1.2820,0.1789,-0.2308,-0.0042,77.5333,
1.2820,0.0819,-0.1229,0.5950,77.5333,
1.2940,0.0819,-0.1229,0.5950,77.5333,
1.3120,0.0819,-0.1229,0.5950,78.9139,
1.3170,0.0819,-0.1229,0.5950,78.9139,
1.3210,0.0819,-0.1229,0.5950,78.9139,
1.3210,-0.1562,0.1037,0.2305,78.9139,
1.3560,-0.3230,-0.0137,0.4408,78.9139,
1.3560,-0.3230,-0.0137,0.4408,78.9139,
1.3560,-0.3230,-0.0137,0.4408,78.9139,
1.3690,-0.3230,-0.0137,0.4408,78.9139,
1.3690,-0.3230,-0.0137,0.4408,78.9139,
1.3940,-0.3230,-0.0137,0.4408,78.9139,
1.3950,0.1602,-0.0290,-0.2882,78.9139,
1.3960,0.1602,-0.0290,-0.2882,78.9139,
1.3960,0.1602,-0.0290,-0.2882,78.9139,
1.4190,0.1602,-0.0290,-0.2882,78.9139,
1.4330,0.1602,-0.0290,-0.2882,78.9139,
1.4330,0.1602,-0.0290,-0.2882,78.9139,
1.4330,-0.0647,0.1815,-1.0054,78.9139,
1.4450,-0.0647,0.1815,-1.0054,78.9139,
1.4690,-0.0647,0.1815,-1.0054,78.9139,
1.4720,-0.0647,0.1815,-1.0054,78.9139,
1.4730,-0.0647,0.1815,-1.0054,78.9139,
1.4730,-0.0647,0.1815,-1.0054,78.9139,
1.4730,-0.1506,-0.1057,-0.4363,78.9139,
1.5110,-0.1506,-0.1057,-0.4363,78.9139,
1.5120,-0.1506,-0.1057,-0.4363,78.9139,
1.5170,0.2055,-0.0190,-0.8406,78.9139,
1.5170,0.2055,-0.0190,-0.8406,78.9139,
1.5180,0.2055,-0.0190,-0.8406,78.9139,
1.5500,0.2055,-0.0190,-0.8406,78.9139,
1.5500,-0.1344,-0.0319,0.1233,78.9139,
1.5500,-0.1344,-0.0319,0.1233,78.9139,
1.5690,-0.1344,-0.0319,0.1233,78.9139,
1.5890,-0.1344,-0.0319,0.1233,78.9139,
1.5900,-0.1344,-0.0319,0.1233,78.9139,
1.5900,-0.1344,-0.0319,0.1233,78.9139,
1.5900,-0.0963,0.0688,0.6294,78.9139,
1.5930,-0.0963,0.0688,0.6294,78.9139,
1.6180,-0.0963,0.0688,0.6294,87.3296,
1.6270,-0.0963,0.0688,0.6294,87.3296,
1.6270,-0.0963,0.0688,0.6294,87.3296,
1.6270,0.1128,-0.0909,0.8310,87.3296,
1.6660,0.1128,-0.0909,0.8310,87.3296,
1.6670,0.1128,-0.0909,0.8310,87.3296,
1.6670,-0.0860,-0.1248,0.4676,87.3296,
1.6670,-0.0860,-0.1248,0.4676,87.3296,
1.6690,-0.0860,-0.1248,0.4676,87.3296,
1.6720,-0.0860,-0.1248,0.4676,87.3296,
1.7070,-0.0860,-0.1248,0.4676,87.3296,
1.7070,0.0887,-0.0099,-0.3785,87.3296,
1.7080,0.0887,-0.0099,-0.3785,87.3296,
1.7130,0.0887,-0.0099,-0.3785,87.3296,
1.7490,0.0887,-0.0099,-0.3785,87.3296,
1.7500,0.0887,-0.0099,-0.3785,87.3296,
1.7500,0.0887,-0.0099,-0.3785,87.3296,
1.7510,-0.1028,0.0575,-0.0481,87.3296,
1.7740,-0.1028,0.0575,-0.0481,87.3296,
1.7960,-0.1028,0.0575,-0.0481,87.3296,
1.7960,-0.1573,-0.1326,0.0915,87.3296,
1.7970,-0.1573,-0.1326,0.0915,87.3296,
1.8000,-0.1573,-0.1326,0.0915,87.3296,
1.8210,-0.1573,-0.1326,0.0915,87.3296,
1.8210,-0.1573,-0.1326,0.0915,87.3296,
1.8270,-0.1573,-0.1326,0.0915,87.3296,
1.8290,-0.1156,-0.2143,0.0252,87.3296,
1.8330,-0.1156,-0.2143,0.0252,87.3296,
1.8710,-0.1156,-0.2143,0.0252,87.3296,
1.8710,-0.1156,-0.2143,0.0252,87.3296,
1.8720,-0.0821,-0.2299,-0.1998,87.3296,
1.8720,-0.0821,-0.2299,-0.1998,87.3296,
1.8830,-0.0821,-0.2299,-0.1998,87.3296,
1.9010,-0.0821,-0.2299,-0.1998,87.3296,
1.9020,-0.0821,-0.2299,-0.1998,87.3296,
1.9020,-0.0821,-0.2299,-0.1998,87.3296,
1.9080,-0.0341,-0.1291,-0.3810,87.3296,
1.9130,-0.0341,-0.1291,-0.3810,89.2633,
1.9400,-0.0341,-0.1291,-0.3810,89.2633,
1.9400,-0.1900,0.2593,0.1383,89.2633,
1.9420,-0.1900,0.2593,0.1383,89.2633,
1.9700,-0.1900,0.2593,0.1383,89.2633,
1.9700,-0.1900,0.2593,0.1383,89.2633,
1.9780,-0.1900,0.2593,0.1383,89.2633,
1.9790,-0.1900,0.2593,0.1383,89.2633,
1.9790,0.1174,-0.1164,0.0404,89.2633,
1.9930,0.1174,-0.1164,0.0404,89.2633,
2.0180,0.1174,-0.1164,0.0404,89.2633,
2.0180,0.1174,-0.1164,0.0404,89.2633,
2.0190,0.3749,-0.1774,0.3898,89.2633,
2.0200,0.3749,-0.1774,0.3898,89.2633,
2.0520,0.3749,-0.1774,0.3898,89.2633,
2.0670,0.1663,-0.0546,-0.2848,89.2633,
2.0680,0.1663,-0.0546,-0.2848,89.2633,
2.0690,0.1663,-0.0546,-0.2848,89.2633,
2.0700,0.1663,-0.0546,-0.2848,89.2633,
2.0770,0.1663,-0.0546,-0.2848,89.2633,
2.0950,0.1663,-0.0546,-0.2848,89.2633,
2.0960,0.1114,-0.1329,0.4353,89.2633,
2.0960,0.1114,-0.1329,0.4353,89.2633,
2.1190,0.1114,-0.1329,0.4353,89.2633,
2.1210,0.1114,-0.1329,0.4353,89.2633,
2.1340,0.1114,-0.1329,0.4353,89.2633,
2.1340,0.1114,-0.1329,0.4353,89.2633,
2.1350,0.0291,-0.0893,0.4454,89.2633,
2.1730,0.0291,-0.0893,0.4454,89.2633,
2.1740,0.0291,-0.0893,0.4454,89.2633,
2.1760,0.1981,-0.0876,0.0394,89.2633,
2.1770,0.1981,-0.0876,0.0394,89.2633,
2.1950,0.1981,-0.0876,0.0394,89.2633,
2.1970,0.1981,-0.0876,0.0394,89.2633,
2.2150,0.1981,-0.0876,0.0394,89.1182,
2.2160,0.1981,-0.0876,0.0394,89.1182,
2.2160,-0.1436,0.0481,-0.2914,89.1182,
2.2200,-0.1436,0.0481,-0.2914,89.1182,
2.2540,-0.1436,0.0481,-0.2914,89.1182,
2.2550,-0.1436,0.0481,-0.2914,89.1182,
2.2560,-0.1958,0.1324,-0.2991,89.1182,
2.2740,-0.1958,0.1324,-0.2991,89.1182,
2.2750,-0.1958,0.1324,-0.2991,89.1182,
2.2920,-0.1958,0.1324,-0.2991,89.1182,
2.2930,0.4023,-0.1977,-0.2808,89.1182,
2.2940,0.4023,-0.1977,-0.2808,89.1182,
2.2940,0.4023,-0.1977,-0.2808,89.1182,
2.3170,0.4023,-0.1977,-0.2808,89.1182,
2.3330,0.4023,-0.1977,-0.2808,89.1182,
2.3330,0.4023,-0.1977,-0.2808,89.1182,
2.3340,-0.0493,-0.2198,0.0157,89.1182,
2.3570,-0.0493,-0.2198,0.0157,89.1182,
2.3740,-0.6463,0.3328,0.8106,89.1182,
2.3750,-0.6463,0.3328,0.8106,89.1182,
2.3760,-0.6463,0.3328,0.8106,89.1182,
2.3770,-0.6463,0.3328,0.8106,89.1182,
2.3990,-0.6463,0.3328,0.8106,89.1182,
2.4140,-0.6463,0.3328,0.8106,89.1182,
2.4140,-0.6463,0.3328,0.8106,89.1182,
2.4150,-0.5254,0.3977,0.9219,89.1182,
2.4240,-0.5254,0.3977,0.9219,89.1182,
2.4380,-0.5254,0.3977,0.9219,89.1182,
2.4510,-0.5254,0.3977,0.9219,89.1182,
2.4520,-0.5254,0.3977,0.9219,89.1182,
