
time,Gain,
0.0090,79.2271,
0.0300,79.2271,
0.0310,79.2271,
0.0310,79.2271,
0.0310,79.2271,
0.0720,79.2271,
0.0870,79.2271,
0.0880,79.2271,
0.0880,79.2271,
0.1070,77.9845,
0.1090,77.9845,
0.1120,77.9845,
0.1470,77.9845,
0.1470,77.9845,
0.1470,77.9845,
0.1590,77.9845,
0.1860,77.9845,
0.1910,77.9845,
0.2050,77.9845,
0.2050,77.9845,
0.2050,77.9845,
0.2090,77.9845,
0.2590,77.9845,
0.2630,77.9845,
0.2630,77.9845,
0.2630,77.9845,
0.2710,77.9845,
0.3090,77.9845,
0.3100,77.9845,
0.3210,77.9845,
0.3210,77.9845,
0.3210,77.9845,
0.3400,77.9845,
0.3590,77.9845,
0.3790,77.9845,
0.3790,77.9845,
0.3800,77.9845,
0.3920,77.9845,
0.4090,78.1929,
0.4090,78.1929,
0.4370,78.1929,
0.4380,78.1929,
0.4380,78.1929,
0.4720,78.1929,
0.4770,78.1929,
0.4980,78.1929,
0.4980,78.1929,
0.4980,78.1929,
0.5100,78.1929,
0.5110,78.1929,
0.5530,78.1929,
0.5560,78.1929,
0.5570,78.1929,
0.5580,78.1929,
0.5620,78.1929,
0.5940,78.1929,
0.6100,78.1929,
0.6140,78.1929,
0.6150,78.1929,
0.6150,78.1929,
0.6220,78.1929,
0.6740,78.1929,
0.6770,78.1929,
0.6780,78.1929,
0.6780,78.1929,
0.6950,78.1929,
0.7100,77.6109,
0.7120,77.6109,
0.7310,77.6109,
0.7310,77.6109,
0.7330,77.6109,
0.7600,77.6109,
0.7600,77.6109,
0.7880,77.6109,
0.7890,77.6109,
0.7890,77.6109,
0.7930,77.6109,
0.8120,77.6109,
0.8280,77.6109,
0.8490,77.6109,
0.8490,77.6109,
0.8500,77.6109,
0.8730,77.6109,
0.9080,77.6109,
0.9090,77.6109,
0.9090,77.6109,
0.9100,77.6109,
0.9130,77.6109,
0.9140,77.6109,
0.9650,77.6109,
0.9680,77.6109,
0.9690,77.6109,
0.9690,77.6109,
0.9910,77.6109,
0.9920,77.6109,
1.0090,77.1210,
1.0240,77.1210,
1.0250,77.1210,
1.0250,77.1210,
1.0670,77.1210,
1.0760,77.1210,
